GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-consumers-past-12-months-%28-%29,2002,2002,2002,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,33.983543,34.0 [31.4 - 36.3],31.4404758,36.3390076
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-average-daily-intake-in-grams-among-drinkers-with-95-ci,2013,2013,2013,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,32.519800238,32.5 [14.6 - 50.5],14.625223784,50.453670621
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29,1961,1961,1961,AFR,Africa,GHA,Ghana,ALCOHOLTYPE,ALCOHOLTYPE_SA_WINE,Wine,0.02,0.02,,
SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-recorded-per-capita-%2815-%29-consumption-%28in-litres-of-pure-alcohol%29-3-year-average-with-95-ci,2009,2009,2009,AFR,Africa,GHA,Ghana,,,,2.093811919,2.1 [1.3 - 2.8],1.326683623,2.808819753
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-drinkers-only-per-capita-%2815-%29consumption-in-litres-of-pure-alcohol,2008,2008,2008,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,14.79108987,14.8 [6.9 - 22.9],6.858623973,22.90719398
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-consumers-past-12-months-%28-%29,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,42.8477912,42.8 [40.3 - 45.2],40.3183012,45.1717863
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-former-drinkers-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,8.9328053,8.9 [8.1 - 9.8],8.1060743,9.7687684
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-drinkers-only-per-capita-%2815-%29consumption-in-litres-of-pure-alcohol,2003,2003,2003,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,15.82847278,15.8 [7.7 - 24.2],7.681738944,24.17056598
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-former-drinkers-%28-%29,2007,2007,2007,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,9.1179668,9.1 [8.2 - 10.0],8.2449743,9.9639137
SA_0000001769,National systems for monitoring alcohol consumption and harms,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-systems-for-monitoring-alcohol-consumption-and-harms,2016,2016,2016,AFR,Africa,GHA,Ghana,NATIONALSYSTEMTYPE,NATIONALSYSTEMTYPE_SA_NST_ALCOHOLCONSUMPTION,alcohol consumption,,No,,
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-consumers-past-12-months-%28-%29,2001,2001,2001,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,52.9992527,53.0 [50.4 - 55.4],50.3566376,55.4468938
SA_0000001807,"Cancer, age-standardized death rates (15+), per 100,000 population",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cancer-age-standardized-death-rates-%2815-%29-per-100-000-population,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,97.361642537,97.4,,
SA_0000001413,"Alcohol, consumers past 12 months (%), age-standardized",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/alcohol-consumers-past-12-months-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,43.4981934,43.5 [40.9 - 45.9],40.9139458,45.8885754
