year,overweight_adult_pct_agestd,obesity_adult_pct_agestd,non_hdl_cholesterol_mean_agestd,alcohol_percapita_litres,insufficient_physical_activity_pct_agestd,oop_pct_che,ncd_3070_probability_pct_yoy_change
2000,20.995504,6.0756993,2.9,4.818868209,17.043276,38.04437256,
2001,22.016719,6.4944707,2.9,4.818868209,17.267477,33.58546448,0.6000000000000014
2002,23.042713,6.9187179,2.9,4.798988779,17.49539,31.97357178,0.09999999999999787
2003,24.065135,7.3438838,3.0,4.84612507,17.723448,36.10242844,0.10000000000000142
2004,25.067517,7.7612698,3.0,4.8517334,17.947233,32.52027893,-0.10000000000000142
2005,26.03578,8.1647702,3.0,4.903926267,18.162159,23.56558228,0.0
2006,26.959631,8.5483856,3.0,4.938123428,18.364243,35.24680328,0.0
2007,27.825385,8.9053534,3.0,4.968834051,18.550148,39.62923813,0.1999999999999993
2008,28.625727,9.2312925,3.1,4.933936639,18.717653,41.125103,0.10000000000000142
2009,29.359213,9.5250033,3.1,5.127791392,18.866209,34.95505905,0.1999999999999993
2010,30.023408,9.7868018,3.1,5.228883399,18.997995,34.31673813,-0.3000000000000007
2011,30.624124,10.021187,3.2,5.195429244,19.117264,32.97914886,0.0
2012,31.17882,10.238216,3.2,4.949478241,19.230898,36.85724258,-0.3999999999999986
2013,31.706604,10.450875,3.2,4.968151155,19.349007,38.87570953,-0.3000000000000007
2014,32.232863,10.671166,3.2,5.008791277,19.48044,45.05064011,-0.3000000000000007
2015,32.764494,10.903609,3.2,4.915351137,19.62842,35.80306244,-0.1999999999999993
2016,33.304498,11.150894,3.3,4.612184437,19.795277,37.82372665,-0.3000000000000007
2017,33.852455,11.412118,3.3,4.488806446,19.980072,22.65083694,-0.29999999999999716
2018,34.408483,11.686822,3.3,4.549212312,20.18181,33.48161697,-0.40000000000000213
2019,34.975308,11.976149,,4.58523241,20.401337,28.97685051,-0.3999999999999986
2020,35.55268,12.28167,,4.552965704,20.639736,23.7503624,0.0
2021,36.137906,12.601374,,4.443664946,20.894526,26.49847794,-0.6000000000000014
2022,36.727545,12.931313,,4.443664946,21.162224,25.03213501,
