district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Adentan Municipal,Greater Accra,-2.9096484971054384,-1.3325526800062992,coldspot,-1.4312124679080473,coldspot,3,0.001
Ledzokuku Municipal,Greater Accra,-2.2711483499697214,-1.507132478400229,coldspot,-1.358374511425525,coldspot,3,0.001
Chereponi,North East,3.620157086508303,1.5563016337345854,hotspot,1.980448687872692,hotspot,1,0.032
Wa East,Upper West,2.8462409061213165,1.4204762112011542,hotspot,1.6374850091130833,hotspot,1,0.002
Wa Municipal,Upper West,-0.4563371184874608,1.7152641672466369,hotspot,1.8375759792347957,hotspot,2,0.002
Saboba,Northern,2.520149987351668,1.4126669855246201,hotspot,1.6798003423523176,hotspot,1,0.041
Jirapa Municipal,Upper West,3.6362044979252777,1.3917764493671285,hotspot,1.305463549643786,hotspot,1,0.004
Gushegu Municipal,Northern,3.6156383954728977,2.0639283109556636,hotspot,1.904083721668892,hotspot,1,0.001
Sissala West,Upper West,2.3631446630299493,1.3385724431575872,hotspot,1.2500106664312418,hotspot,1,0.013
Nanumba North Municipal,Northern,1.5898698889813807,1.62668953503871,hotspot,1.4531210156571692,hotspot,1,0.001
Lambussie Karni,Upper West,3.003912137400092,1.3530493825062933,hotspot,1.3580651820869756,hotspot,1,0.013
Bolgatanga Municipal,Upper East,-0.0215766862578591,1.3659948799456099,hotspot,1.595961865095199,hotspot,2,0.009
Nanumba South,Northern,2.284861622619089,1.300649009853307,hotspot,1.1569017402633723,hotspot,1,0.005
Wenchi Municipal,Bono,-0.2179581188366112,-0.31259959997951225,not_significant,-0.44684211651461325,not_significant,3,0.224
Bongo,Upper East,4.148711347283545,1.0666574413319523,hotspot,1.3538869155442224,hotspot,1,0.054
Tano South Municipal,Ahafo,-0.5403235672668537,-0.2214135814298658,not_significant,-0.2967636440047822,not_significant,3,0.343
Kasena Nankana West,Upper East,3.5969042073402497,,not_significant,1.1249983926304217,hotspot,4,0.001
Wa West,Upper West,4.868425326477099,1.2761992231112795,hotspot,1.3891053902806243,hotspot,1,0.013
Sunyani Municipal,Bono,-2.11308934485455,-0.4759165015143597,not_significant,-0.5787575143036968,not_significant,3,0.17
Sawla Tuna Kalba,Savannah,4.099492740030122,1.778041728302632,hotspot,1.2817388203288373,hotspot,1,0.001
Asante Akim South Municipal,Ashanti,-0.6027145963001361,-0.3463165365079085,not_significant,-0.5870061734797203,not_significant,3,0.267
Sissala East Municipal,Upper West,0.9940015437924496,1.4313853774285905,hotspot,1.4661557863006323,hotspot,1,0.003
Ada East,Greater Accra,0.3619396230709791,0.6021752020479464,not_significant,0.47366003172814497,not_significant,1,0.163
Shai-Osudoku,Greater Accra,-0.4002270446483389,-0.06151977856953608,not_significant,-0.37874261926512515,not_significant,3,0.473
Kasena Nankana Municipal,Upper East,1.624869335168024,1.411126818251517,hotspot,1.2964159762770118,hotspot,1,0.003
Ada West,Greater Accra,1.3700418305936666,0.11664671320878657,not_significant,0.19990690828249957,not_significant,1,0.379
Bunkpurugu Nakpanduri,North East,2.0942412311044905,2.221578041874337,hotspot,2.308383495117069,hotspot,1,0.001
Garu,Upper East,3.764835491911277,1.8220930730050051,hotspot,1.697891567000571,hotspot,1,0.001
Ningo-Prampram,Greater Accra,-1.0046452807418482,-0.20278830030839304,not_significant,-0.7953774775696887,coldspot,3,0.402
