district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Adentan Municipal,Greater Accra,-2.9096484971054384,-1.332552680006299,coldspot,-1.4312124679080471,coldspot,3,0.001
Ledzokuku Municipal,Greater Accra,-2.2711483499697214,-1.5071324784002278,coldspot,-1.3583745114255243,coldspot,3,0.001
Chereponi,North East,3.620157086508303,-1.556301633734584,coldspot,-1.9804486878726901,coldspot,1,0.024
Wa East,Upper West,2.8462409061213165,-1.4204762112011533,coldspot,-1.637485009113083,coldspot,1,0.003
Wa Municipal,Upper West,-0.4563371184874608,1.715264167246637,hotspot,1.8375759792347952,hotspot,2,0.001
Saboba,Northern,2.520149987351668,-1.412666985524619,coldspot,-1.6798003423523162,coldspot,1,0.03
Jirapa Municipal,Upper West,3.6362044979252777,-1.391776449367127,coldspot,-1.3054635496437847,coldspot,1,0.003
Gushegu Municipal,Northern,3.6156383954728977,-2.0639283109556623,coldspot,-1.9040837216688908,coldspot,1,0.001
Sissala West,Upper West,2.3631446630299493,-1.3385724431575858,coldspot,-1.2500106664312407,coldspot,1,0.009
Nanumba North Municipal,Northern,1.5898698889813807,-1.6266895350387085,coldspot,-1.4531210156571681,coldspot,1,0.001
Lambussie Karni,Upper West,3.003912137400092,-1.3530493825062921,coldspot,-1.3580651820869754,coldspot,1,0.009
Bolgatanga Municipal,Upper East,-0.0215766862578591,1.3659948799456079,hotspot,1.5959618650951966,hotspot,2,0.009
Nanumba South,Northern,2.284861622619089,-1.3006490098533063,coldspot,-1.1569017402633712,coldspot,1,0.005
Wenchi Municipal,Bono,-0.2179581188366112,-0.3125995999795116,not_significant,-0.44684211651461225,not_significant,3,0.237
Bongo,Upper East,4.148711347283545,-1.0666574413319525,not_significant,-1.3538869155442228,coldspot,1,0.053
Tano South Municipal,Ahafo,-0.5403235672668537,-0.22141358142986522,not_significant,-0.2967636440047816,not_significant,3,0.331
Kasena Nankana West,Upper East,3.5969042073402497,,not_significant,-1.124998392630421,coldspot,4,0.001
Wa West,Upper West,4.868425326477099,-1.2761992231112798,coldspot,-1.389105390280624,coldspot,1,0.013
Sunyani Municipal,Bono,-2.11308934485455,-0.4759165015143591,not_significant,-0.5787575143036962,not_significant,3,0.181
Sawla Tuna Kalba,Savannah,4.099492740030122,-1.7780417283026306,coldspot,-1.281738820328836,coldspot,1,0.001
Asante Akim South Municipal,Ashanti,-0.6027145963001361,-0.34631653650790795,not_significant,-0.5870061734797191,not_significant,3,0.263
Sissala East Municipal,Upper West,0.9940015437924496,-1.4313853774285887,coldspot,-1.4661557863006311,coldspot,1,0.001
Ada East,Greater Accra,0.3619396230709791,0.6021752020479465,not_significant,0.47366003172814436,not_significant,1,0.161
Shai-Osudoku,Greater Accra,-0.4002270446483389,-0.06151977856953552,not_significant,-0.37874261926512454,not_significant,3,0.452
Kasena Nankana Municipal,Upper East,1.624869335168024,-1.411126818251516,coldspot,-1.2964159762770109,coldspot,1,0.002
Ada West,Greater Accra,1.3700418305936666,-0.11664671320878646,not_significant,-0.19990690828249957,not_significant,1,0.38
Bunkpurugu Nakpanduri,North East,2.0942412311044905,-2.221578041874337,coldspot,-2.3083834951170696,coldspot,1,0.001
Garu,Upper East,3.764835491911277,-1.8220930730050042,coldspot,-1.69789156700057,coldspot,1,0.001
Ningo-Prampram,Greater Accra,-1.0046452807418482,-0.20278830030839282,not_significant,-0.7953774775696887,coldspot,3,0.402
East Mamprusi Municipal,North East,4.623235973612845,-1.9815889145125851,coldspot,-2.027235124369274,coldspot,1,0.001
La Dade-Kotopon Municipal,Greater Accra,-2.716660743266794,-1.2439260795422415,coldspot,-1.2050115538240405,coldspot,3,0.001
Bawku West,Upper East,3.51935453023128,-2.376561213768296,coldspot,-1.7119165146689113,coldspot,1,0.001
Aowin Municipal,Western North,-0.2054360120528212,-0.14618830765646865,not_significant,-0.139576415981605,not_significant,3,0.414
Dormaa East,Bono,-1.0702689733881907,-0.7306092853046796,coldspot,-0.7391082886862668,coldspot,3,0.029
Suaman,Western North,0.3019542934641093,-0.15874939054969672,not_significant,-0.28434547320016434,not_significant,4,0.405
Berekum East Municipal,Bono,-1.8394409836447525,-0.5276602586880819,not_significant,-0.6356569917199683,coldspot,3,0.075
Bia East,Western North,-0.2755807395532177,-0.5387953072649588,not_significant,-0.5355784377341004,not_significant,3,0.137
Jaman South,Bono,-1.027347222873643,-0.7339409819263363,not_significant,-0.6423606615810922,coldspot,3,0.073
Bia West,Western North,-1.5255382098256618,-0.1793081742122176,not_significant,-0.23830996329535978,not_significant,3,0.472
Sunyani West Municipal,Bono,-0.9520748128458342,-0.5804711993707818,coldspot,-0.7042458737373604,coldspot,3,0.032
Asunafo North Municipal,Ahafo,-0.8337867606712579,-0.31346757327978114,not_significant,-0.4096430455994588,not_significant,3,0.239
Bodi,Western North,-0.166603098136038,-0.13088787912464597,not_significant,-0.27095779276838255,not_significant,3,0.426
Juaboso,Western North,-0.372653330154027,-0.26941211654552855,not_significant,-0.2529010506719966,not_significant,3,0.245
Nkoranza North,Bono East,-0.3991888498639965,-0.2918121260184632,not_significant,-0.3367137632889249,not_significant,3,0.224
Kintampo South,Bono East,0.0691556557356978,0.15809813673597478,not_significant,-0.3922480935096769,not_significant,1,0.324
Shama,Western,-0.3692981816726385,-0.31467014679384947,not_significant,-0.5717154876210825,not_significant,3,0.297
Tano North Municipal,Ahafo,-0.934019662002113,-0.4367500680835317,not_significant,-0.4424831153502052,not_significant,3,0.114
Wassa East,Western,-0.2053920451832667,-0.15385621877991323,not_significant,-0.06694210326196787,not_significant,3,0.378
Ketu North Municipal,Volta,0.3452640256605313,0.3523988029608998,not_significant,0.4121696377283033,not_significant,1,0.224
