variable,n_obs,year_range,trend,mk_statistic_S,tau,p_value,sens_slope_per_year,first_value,last_value,p_value_fdr_bh,significant_after_fdr
ncd_premature_death_proportion_pct,22,2000-2021,decreasing,-169.0,-0.7316,0.0,-0.24225,67.998,62.697,0.0,True
ncd_3070_probability_pct,22,2000-2021,decreasing,-117.0,-0.5065,0.00101,-0.13,24.5,22.2,0.00138875,True
overweight_adult_pct_agestd,23,2000-2022,increasing,253.0,1.0,0.0,0.65139,20.996,36.728,0.0,True
obesity_adult_pct_agestd,23,2000-2022,increasing,253.0,1.0,0.0,0.28567,6.076,12.931,0.0,True
diabetes_prevalence_pct_agestd,23,2000-2022,increasing,253.0,1.0,0.0,0.23393,6.191,11.698,0.0,True
non_hdl_cholesterol_mean_agestd,19,2000-2018,increasing,142.0,0.8304,0.0,0.025,2.9,3.3,0.0,True
insufficient_physical_activity_pct_agestd,23,2000-2022,increasing,253.0,1.0,0.0,0.17077,17.043,21.162,0.0,True
alcohol_percapita_litres,23,2000-2022,no trend,-53.0,-0.2095,0.16935,-0.01705,4.819,4.444,0.186285,False
air_pollution_death_rate_agestd,10,2010-2019,decreasing,-45.0,-1.0,8e-05,-1.76,79.087,63.706,0.00012571428571428572,True
oop_pct_che,23,2000-2022,no trend,-51.0,-0.2016,0.18666,-0.35066,38.044,25.032,0.18666,False
oop_per_capita_usd,23,2000-2022,increasing,105.0,0.415,0.00602,0.99747,3.976,20.607,0.007357777777777777,True
